,0,1
413,20151118,14
414,20151119,13
415,20151120,13
416,20151121,11
417,20151122,12
418,20151123,11
419,20151124,12
420,20151125,11
421,20151126,11
422,20151127,13
423,20151128,12
424,20151129,12
425,20151130,11
426,20151201,14
427,20151202,14
428,20151203,12
429,20151204,15
430,20151205,13
431,20151206,15
432,20151207,12
433,20151208,13
434,20151209,12
435,20151210,13
436,20151211,12
437,20151212,13
438,20151213,11
439,20151214,11
440,20151215,10
441,20151216,11
442,20151217,12
443,20151218,11
444,20151219,11
445,20151220,10
446,20151221,12
447,20151222,13
448,20151223,10
449,20151224,10
450,20151225,11
451,20151226,12
452,20151227,11
453,20151228,12
454,20151229,12
455,20151230,12
456,20151231,12
457,20160101,13
458,20160102,15
459,20160103,15
460,20160104,12
461,20160105,14
462,20160106,14
463,20160107,13
464,20160108,14
465,20160109,14
466,20160110,12
467,20160111,10
468,20160112,12
469,20160113,13
470,20160114,12
471,20160115,12
472,20160116,11
473,20160117,12
474,20160118,12
475,20160119,11
476,20160120,12
477,20160121,10
478,20160122,12
479,20160123,15
480,20160124,13
481,20160125,13
482,20160126,13
483,20160127,15
484,20160128,12
485,20160129,11
486,20160130,11
487,20160131,12
488,20160201,10
489,20160202,12
490,20160203,14
491,20160204,12
492,20160205,12
493,20160206,12
494,20160207,13
495,20160208,11
496,20160209,15
497,20160210,11
498,20160211,14
499,20160212,12
500,20160213,13
501,20160214,14
502,20160215,13
503,20160216,13
504,20160217,12
505,20160218,15
506,20160219,15
507,20160220,12
508,20160221,15
509,20160222,12
510,20160223,11
511,20160224,12
512,20160225,11
513,20160226,12
514,20160227,10
515,20160228,11
516,20160229,12
517,20160301,12
518,20160302,12
519,20160303,13
520,20160304,13
521,20160305,11
522,20160306,10
523,20160307,11
524,20160308,12
525,20160309,11
526,20160310,12
527,20160311,13
528,20160312,10
529,20160313,12
530,20160314,10
531,20160315,10
532,20160316,11
533,20160317,10
534,20160318,12
535,20160319,11
536,20160320,11
537,20160321,11
538,20160322,12
539,20160323,12
540,20160324,12
541,20160325,13
542,20160326,10
543,20160327,11
544,20160328,13
545,20160329,13
546,20160330,12
547,20160331,11
548,20160401,11
549,20160402,13
550,20160403,12
551,20160404,16
552,20160405,13
553,20160406,13
554,20160407,11
555,20160408,14
556,20160409,11
557,20160410,13
558,20160411,14
559,20160412,13
560,20160413,11
561,20160414,15
562,20160415,11
563,20160416,11
564,20160417,10
565,20160418,11
566,20160419,11
567,20160420,11
568,20160421,14
569,20160422,11
570,20160423,11
571,20160424,12
572,20160425,13
573,20160426,12
574,20160427,13
575,20160428,13
576,20160429,13
577,20160430,11
578,20160501,12
579,20160502,12
580,20160503,10
581,20160504,13
582,20160505,12
583,20160506,13
584,20160507,12
585,20160508,13
586,20160509,12
587,20160510,11
588,20160511,12
589,20160512,13
590,20160513,12
591,20160514,12
592,20160515,13
593,20160516,12
594,20160517,13
595,20160518,14
596,20160519,11
597,20160520,11
