"","month_2","region","count"
"339",10,"47",12
"340",10,"48",2
"341",10,"49",12
"342",10,"50",1
"343",10,"51",1
"344",10,"52",3
"345",10,"53",7
"346",10,"54",5
"347",10,"55",3
"348",10,"56",3
"349",10,"57",3
"350",10,"58",1
"351",11,"6",1
"352",11,"7",1
"353",11,"9",1
"354",11,"11",4
"355",11,"12",5
"356",11,"13",7
"357",11,"14",13
"358",11,"15",32
"359",11,"16",20
"360",11,"17",10
"361",11,"18",15
"362",11,"19",40
"363",11,"20",23
"364",11,"21",9
"365",11,"22",7
"366",11,"23",5
"367",11,"24",2
"368",11,"25",4
"369",11,"26",17
"370",11,"27",5
"371",11,"28",1
"372",11,"29",6
"373",11,"45",6
"374",11,"46",3
"375",11,"47",6
"376",11,"48",2
"377",11,"49",7
"378",11,"50",4
"379",11,"52",9
"380",11,"53",6
"381",11,"54",8
"382",11,"57",4
"383",12,"6",1
"384",12,"8",1
"385",12,"11",8
"386",12,"12",7
"387",12,"13",13
"388",12,"14",15
"389",12,"15",20
"390",12,"16",13
"391",12,"17",11
"392",12,"18",11
"393",12,"19",25
"394",12,"20",26
"395",12,"21",13
"396",12,"22",6
"397",12,"23",5
"398",12,"24",3
"399",12,"25",13
"400",12,"26",13
"401",12,"27",6
"402",12,"29",2
"403",12,"30",3
"404",12,"44",3
"405",12,"45",8
"406",12,"46",2
"407",12,"47",8
"408",12,"48",1
"409",12,"49",3
"410",12,"50",1
"411",12,"52",8
"412",12,"53",8
"413",12,"54",4
"414",12,"56",5
"415",12,"57",1
"416",13,"10",1
"417",13,"11",5
"418",13,"12",8
"419",13,"13",15
"420",13,"14",15
"421",13,"15",19
"422",13,"16",17
"423",13,"17",13
"424",13,"18",13
"425",13,"19",34
"426",13,"20",20
"427",13,"21",18
"428",13,"22",8
"429",13,"23",4
"430",13,"25",9
"431",13,"26",10
"432",13,"27",3
"433",13,"28",1
"434",13,"29",4
"435",13,"30",1
"436",13,"45",2
"437",13,"46",3
"438",13,"47",7
"439",13,"49",8
"440",13,"51",4
"441",13,"52",5
"442",13,"53",5
"443",13,"54",4
"444",13,"55",1
"445",13,"56",2
"446",13,"57",1
"447",14,"6",1
"448",14,"7",3
"449",14,"10",1
"450",14,"11",8
"451",14,"12",10
"452",14,"13",17
"453",14,"14",9
"454",14,"15",11
"455",14,"16",9
"456",14,"17",11
"457",14,"18",16
"458",14,"19",22
"459",14,"20",24
"460",14,"21",12
"461",14,"22",3
"462",14,"23",6
"463",14,"24",2
"464",14,"25",5
"465",14,"26",12
"466",14,"27",4
"467",14,"29",7
"468",14,"30",1
"469",14,"44",1
"470",14,"45",4
"471",14,"46",1
"472",14,"47",8
"473",14,"48",1
"474",14,"49",2
"475",14,"50",3
"476",14,"51",3
"477",14,"52",5
"478",14,"53",8
"479",14,"54",5
"480",14,"55",1
"481",14,"56",1
"482",15,"5",1
"483",15,"6",1
"484",15,"11",4
"485",15,"12",8
"486",15,"13",17
"487",15,"14",20
"488",15,"15",20
"489",15,"16",18
"490",15,"17",10
"491",15,"18",11
"492",15,"19",26
"493",15,"20",31
"494",15,"21",11
"495",15,"22",12
"496",15,"23",10
"497",15,"24",1
"498",15,"25",6
"499",15,"26",14
"500",15,"27",7
"501",15,"28",1
"502",15,"29",7
"503",15,"30",3
"504",15,"44",1
"505",15,"45",11
"506",15,"46",3
"507",15,"47",3
"508",15,"48",2
"509",15,"49",4
"510",15,"50",4
"511",15,"52",8
"512",15,"53",10
"513",15,"54",6
"514",15,"55",1
"515",15,"56",4
"516",16,"11",7
"517",16,"12",13
"518",16,"13",17
"519",16,"14",13
"520",16,"15",26
"521",16,"16",16
"522",16,"17",13
"523",16,"18",20
"524",16,"19",33
"525",16,"20",43
"526",16,"21",17
"527",16,"22",6
"528",16,"23",8
"529",16,"25",8
"530",16,"26",13
"531",16,"27",4
"532",16,"28",6
"533",16,"29",9
"534",16,"30",2
"535",16,"45",9
"536",16,"46",2
"537",16,"47",6
"538",16,"48",3
"539",16,"49",9
"540",16,"50",1
"541",16,"51",1
"542",16,"52",8
"543",16,"53",8
